clip_id,video
2S-4eXbehr4_10020000,2S-4eXbehr4
2S-4eXbehr4_10050000,2S-4eXbehr4
2S-4eXbehr4_10110000,2S-4eXbehr4
2S-4eXbehr4_10140000,2S-4eXbehr4
2S-4eXbehr4_10170000,2S-4eXbehr4
2S-4eXbehr4_10200000,2S-4eXbehr4
2S-4eXbehr4_10230000,2S-4eXbehr4
2S-4eXbehr4_10260000,2S-4eXbehr4
2S-4eXbehr4_10290000,2S-4eXbehr4
2S-4eXbehr4_10320000,2S-4eXbehr4
2S-4eXbehr4_10410000,2S-4eXbehr4
2S-4eXbehr4_10440000,2S-4eXbehr4
2S-4eXbehr4_10500000,2S-4eXbehr4
2S-4eXbehr4_10530000,2S-4eXbehr4
2S-4eXbehr4_10560000,2S-4eXbehr4
2S-4eXbehr4_10590000,2S-4eXbehr4
2S-4eXbehr4_10650000,2S-4eXbehr4
2S-4eXbehr4_10680000,2S-4eXbehr4
2S-4eXbehr4_10710000,2S-4eXbehr4
2S-4eXbehr4_10740000,2S-4eXbehr4
2S-4eXbehr4_10770000,2S-4eXbehr4
2S-4eXbehr4_1080000,2S-4eXbehr4
2S-4eXbehr4_10800000,2S-4eXbehr4
2S-4eXbehr4_10830000,2S-4eXbehr4
2S-4eXbehr4_10860000,2S-4eXbehr4
2S-4eXbehr4_10890000,2S-4eXbehr4
2S-4eXbehr4_10920000,2S-4eXbehr4
2S-4eXbehr4_11220000,2S-4eXbehr4
2S-4eXbehr4_11340000,2S-4eXbehr4
2S-4eXbehr4_1140000,2S-4eXbehr4
2S-4eXbehr4_11460000,2S-4eXbehr4
2S-4eXbehr4_11550000,2S-4eXbehr4
2S-4eXbehr4_11580000,2S-4eXbehr4
2S-4eXbehr4_11610000,2S-4eXbehr4
2S-4eXbehr4_11640000,2S-4eXbehr4
2S-4eXbehr4_11700000,2S-4eXbehr4
2S-4eXbehr4_11730000,2S-4eXbehr4
2S-4eXbehr4_11760000,2S-4eXbehr4
2S-4eXbehr4_11820000,2S-4eXbehr4
2S-4eXbehr4_11880000,2S-4eXbehr4
2S-4eXbehr4_11910000,2S-4eXbehr4
2S-4eXbehr4_11940000,2S-4eXbehr4
2S-4eXbehr4_1200000,2S-4eXbehr4
2S-4eXbehr4_12090000,2S-4eXbehr4
2S-4eXbehr4_12120000,2S-4eXbehr4
2S-4eXbehr4_12270000,2S-4eXbehr4
2S-4eXbehr4_1230000,2S-4eXbehr4
2S-4eXbehr4_12330000,2S-4eXbehr4
2S-4eXbehr4_12360000,2S-4eXbehr4
2S-4eXbehr4_12390000,2S-4eXbehr4
2S-4eXbehr4_12420000,2S-4eXbehr4
2S-4eXbehr4_12450000,2S-4eXbehr4
2S-4eXbehr4_12480000,2S-4eXbehr4
2S-4eXbehr4_12510000,2S-4eXbehr4
2S-4eXbehr4_12540000,2S-4eXbehr4
2S-4eXbehr4_12570000,2S-4eXbehr4
2S-4eXbehr4_12600000,2S-4eXbehr4
2S-4eXbehr4_12630000,2S-4eXbehr4
2S-4eXbehr4_12660000,2S-4eXbehr4
2S-4eXbehr4_12690000,2S-4eXbehr4
2S-4eXbehr4_12720000,2S-4eXbehr4
2S-4eXbehr4_12750000,2S-4eXbehr4
