clip_id,x1,y1,x2,y2,pole_count
2S-4eXbehr4_10110000,89.3,68.2,283.3,152.9,2
2S-4eXbehr4_10230000,1.8,95.8,152.4,167.8,2
2S-4eXbehr4_10410000,86.0,55.2,301.0,136.5,2
2S-4eXbehr4_10500000,188.8,49.1,261.8,101.4,1
2S-4eXbehr4_10590000,215.0,51.9,318.8,140.7,2
2S-4eXbehr4_10650000,2.8,62.2,153.8,138.4,1
2S-4eXbehr4_10740000,3.2,83.2,147.7,153.8,1
2S-4eXbehr4_10770000,14.0,75.7,184.2,139.3,2
2S-4eXbehr4_10860000,33.2,68.2,226.7,139.8,2
2S-4eXbehr4_10890000,176.7,82.7,258.0,166.9,1
2S-4eXbehr4_11340000,216.9,72.0,319.3,151.0,2
2S-4eXbehr4_11550000,193.0,43.9,282.8,116.4,1
2S-4eXbehr4_4590000,14.9,49.8,200.5,124.6,1
2S-4eXbehr4_15450000,73.8,62.9,225.8,113.0,2
2S-4eXbehr4_4770000,12.1,64.3,194.0,168.1,1
2S-4eXbehr4_1620000,14.5,97.1,190.2,176.1,2
2S-4eXbehr4_12600000,165.9,57.8,312.7,108.3,1
2S-4eXbehr4_14100000,7.0,99.9,169.7,169.1,2
2S-4eXbehr4_12630000,1.4,92.4,124.3,144.7,1
2S-4eXbehr4_1800000,62.6,83.5,182.8,146.6,1
2S-4eXbehr4_2940000,72.9,67.6,216.4,151.8,2
2S-4eXbehr4_4560000,21.5,91.4,151.9,167.2,2
2S-4eXbehr4_3060000,42.5,57.8,211.7,142.9,2
2S-4eXbehr4_12690000,8.4,63.4,86.9,162.0,1
2S-4eXbehr4_12390000,213.6,51.7,290.8,115.3,2
2S-4eXbehr4_3390000,182.8,98.0,318.8,153.2,2
2S-4eXbehr4_13050000,36.0,82.6,216.0,157.8,2
2S-4eXbehr4_16710000,43.4,81.2,107.5,174.7,1
2S-4eXbehr4_12570000,104.7,76.5,259.9,140.5,2
2S-4eXbehr4_4740000,9.8,91.9,187.9,170.0,1
2S-4eXbehr4_14160000,42.0,71.3,221.6,138.2,1
2S-4eXbehr4_13470000,63.5,67.1,215.5,139.6,2
2S-4eXbehr4_1440000,126.7,69.0,188.4,154.1,1
2S-4eXbehr4_12660000,33.6,80.2,152.8,135.9,2
2S-4eXbehr4_14430000,1.8,87.7,129.9,152.2,1
2S-4eXbehr4_2370000,4.6,98.5,157.0,169.1,2
2S-4eXbehr4_2250000,126.7,98.9,269.7,161.6,2
2S-4eXbehr4_3540000,67.3,70.4,234.2,133.1,1
2S-4eXbehr4_13410000,36.9,92.4,186.0,161.6,2

