clip_id,takeoff_frame
2S-4eXbehr4_10110000,15
2S-4eXbehr4_10230000,21
2S-4eXbehr4_10410000,14
2S-4eXbehr4_10500000,31
2S-4eXbehr4_10590000,12
2S-4eXbehr4_10740000,5
2S-4eXbehr4_10770000,31
2S-4eXbehr4_10860000,1
2S-4eXbehr4_11340000,26
2S-4eXbehr4_4590000,16
2S-4eXbehr4_4770000,31
2S-4eXbehr4_1620000,23
2S-4eXbehr4_12600000,16
2S-4eXbehr4_1800000,5
2S-4eXbehr4_4560000,7
2S-4eXbehr4_3060000,6
2S-4eXbehr4_12390000,5
2S-4eXbehr4_3390000,7
2S-4eXbehr4_13050000,1
2S-4eXbehr4_14160000,2
2S-4eXbehr4_13470000,1
2S-4eXbehr4_1440000,19
2S-4eXbehr4_2370000,6
2S-4eXbehr4_2250000,3
2S-4eXbehr4_3540000,5
2S-4eXbehr4_13410000,26
2S-4eXbehr4_12720000,9
2S-4eXbehr4_13080000,24
2S-4eXbehr4_13230000,15
2S-4eXbehr4_13620000,31
2S-4eXbehr4_14130000,22
2S-4eXbehr4_14310000,10
2S-4eXbehr4_14880000,28

