method,n,seed,n_train,n_val,accuracy,macro_f1,d_mae,d_mae_vertical,d_mae_oxer
ssl,25,0,25,10,0.9,0.4736842105263158,nan,nan,nan
kinetics,25,0,25,10,0.9,0.4736842105263158,nan,nan,nan
from_scratch,25,0,25,10,0.8,0.4444444444444445,nan,nan,nan
imagenet2d,25,0,25,10,1.0,1.0,nan,nan,nan
ssl,50,0,50,10,0.9,0.4736842105263158,nan,nan,nan
kinetics,50,0,50,10,1.0,1.0,nan,nan,nan
from_scratch,50,0,50,10,0.7,0.4117647058823529,nan,nan,nan
imagenet2d,50,0,50,10,1.0,1.0,nan,nan,nan
ssl,100,0,100,10,0.9,0.4736842105263158,nan,nan,nan
kinetics,100,0,100,10,1.0,1.0,nan,nan,nan
from_scratch,100,0,100,10,1.0,1.0,nan,nan,nan
imagenet2d,100,0,100,10,1.0,1.0,nan,nan,nan
ssl,200,0,100,10,0.9,0.4736842105263158,nan,nan,nan
kinetics,200,0,100,10,1.0,1.0,nan,nan,nan
from_scratch,200,0,100,10,1.0,1.0,nan,nan,nan
imagenet2d,200,0,100,10,1.0,1.0,nan,nan,nan
ssl,25,1,25,16,0.6875,0.4074074074074074,nan,nan,nan
kinetics,25,1,25,16,0.4375,0.30434782608695654,nan,nan,nan
from_scratch,25,1,25,16,0.3125,0.23809523809523808,nan,nan,nan
imagenet2d,25,1,25,16,1.0,1.0,nan,nan,nan
ssl,50,1,50,16,0.875,0.4666666666666667,nan,nan,nan
kinetics,50,1,50,16,0.8125,0.4482758620689655,nan,nan,nan
from_scratch,50,1,50,16,1.0,1.0,nan,nan,nan
imagenet2d,50,1,50,16,1.0,1.0,nan,nan,nan
ssl,100,1,94,16,0.875,0.4666666666666667,nan,nan,nan
kinetics,100,1,94,16,0.9375,0.4838709677419355,nan,nan,nan
from_scratch,100,1,94,16,1.0,1.0,nan,nan,nan
imagenet2d,100,1,94,16,1.0,1.0,nan,nan,nan
ssl,200,1,94,16,0.875,0.4666666666666667,nan,nan,nan
kinetics,200,1,94,16,0.9375,0.4838709677419355,nan,nan,nan
from_scratch,200,1,94,16,1.0,1.0,nan,nan,nan
imagenet2d,200,1,94,16,1.0,1.0,nan,nan,nan
ssl,25,2,25,16,0.75,0.42857142857142855,nan,nan,nan
kinetics,25,2,25,16,0.75,0.42857142857142855,nan,nan,nan
from_scratch,25,2,25,16,0.5625,0.36,nan,nan,nan
imagenet2d,25,2,25,16,0.9375,0.4838709677419355,nan,nan,nan
ssl,50,2,50,16,0.875,0.4666666666666667,nan,nan,nan
kinetics,50,2,50,16,1.0,1.0,nan,nan,nan
from_scratch,50,2,50,16,0.9375,0.4838709677419355,nan,nan,nan
imagenet2d,50,2,50,16,1.0,1.0,nan,nan,nan
ssl,100,2,94,16,0.9375,0.4838709677419355,nan,nan,nan
kinetics,100,2,94,16,0.8125,0.4482758620689655,nan,nan,nan
from_scratch,100,2,94,16,0.875,0.4666666666666667,nan,nan,nan
imagenet2d,100,2,94,16,1.0,1.0,nan,nan,nan
ssl,200,2,94,16,0.9375,0.4838709677419355,nan,nan,nan
kinetics,200,2,94,16,0.8125,0.4482758620689655,nan,nan,nan
from_scratch,200,2,94,16,0.875,0.4666666666666667,nan,nan,nan
imagenet2d,200,2,94,16,1.0,1.0,nan,nan,nan

